Accession_number	Start	End	Prediction_method
NC_004088.1	4238480	4249015	Islandpath-Dimob
NC_004088.1	4432028	4468697	Islandpath-Dimob
NC_008543.1	42807	78587	Islandpath-Dimob
NC_008543.1	94864	110002	Islandpath-Dimob
NC_008543.1	133809	165010	Islandpath-Dimob
NC_008543.1	587351	614203	Islandpath-Dimob
NC_008543.1	2226681	2290313	Islandpath-Dimob
NC_008543.1	2673313	2694166	Islandpath-Dimob
NC_008543.1	2812596	2824252	Islandpath-Dimob
NC_008543.1	2877587	2890156	Islandpath-Dimob
NC_007606.1	140710	152643	Islandpath-Dimob
NC_007606.1	479722	491307	Islandpath-Dimob
NC_007606.1	553055	559356	Islandpath-Dimob
NC_007606.1	593880	604401	Islandpath-Dimob
NC_007606.1	640061	655666	Islandpath-Dimob
NC_007606.1	672953	683404	Islandpath-Dimob
NC_007606.1	876252	884415	Islandpath-Dimob
NC_007606.1	946490	966162	Islandpath-Dimob
NC_007606.1	991693	1004660	Islandpath-Dimob
NC_007606.1	1070408	1078073	Islandpath-Dimob
NC_007606.1	1107894	1116020	Islandpath-Dimob
NC_007606.1	1195955	1204461	Islandpath-Dimob
NC_007606.1	1278706	1290891	Islandpath-Dimob
NC_007606.1	1324726	1331362	Islandpath-Dimob
NC_007606.1	1357273	1363330	Islandpath-Dimob
NC_007606.1	1525327	1532576	Islandpath-Dimob
NC_007606.1	1570819	1575873	Islandpath-Dimob
NC_007606.1	1705538	1715552	Islandpath-Dimob
NC_007606.1	1807380	1822899	Islandpath-Dimob
NC_007606.1	1872674	1891271	Islandpath-Dimob
NC_007606.1	1901073	1908052	Islandpath-Dimob
NC_007606.1	1938567	1950112	Islandpath-Dimob
NC_007606.1	2148525	2159043	Islandpath-Dimob
NC_007606.1	2212660	2223853	Islandpath-Dimob
NC_007606.1	2358987	2370484	Islandpath-Dimob
NC_007606.1	2552640	2576154	Islandpath-Dimob
NC_007606.1	2632703	2639802	Islandpath-Dimob
NC_007606.1	2756763	2765646	Islandpath-Dimob
NC_007606.1	3197098	3245799	Islandpath-Dimob
NC_007606.1	3277570	3281060	Islandpath-Dimob
NC_007606.1	3465270	3484592	Islandpath-Dimob
NC_007606.1	3548759	3553357	Islandpath-Dimob
NC_007606.1	3594623	3603847	Islandpath-Dimob
NC_007606.1	3744154	3775623	Islandpath-Dimob
NC_007606.1	4122554	4133539	Islandpath-Dimob
NC_007606.1	4197526	4204868	Islandpath-Dimob
NC_007606.1	4294439	4305832	Islandpath-Dimob
NC_005945.1	457342	463943	Islandpath-Dimob
NC_005945.1	996790	1005348	Islandpath-Dimob
NC_005945.1	2048873	2060766	Islandpath-Dimob
NC_005945.1	3746458	3780914	Islandpath-Dimob
NC_005945.1	4843486	4868443	Islandpath-Dimob
NC_009342.1	134356	188858	Islandpath-Dimob
NC_009342.1	590301	623523	Islandpath-Dimob
NC_009342.1	2103828	2110456	Islandpath-Dimob
NC_009342.1	2530631	2568305	Islandpath-Dimob
NC_008061.1	187955	252990	Islandpath-Dimob
NC_008061.1	1868507	1893764	Islandpath-Dimob
NC_008061.1	2102780	2135962	Islandpath-Dimob
NC_008061.1	2159771	2180811	Islandpath-Dimob
NC_008061.1	2375417	2389398	Islandpath-Dimob
NC_008061.1	2442732	2454392	Islandpath-Dimob
NC_008061.1	2571116	2595257	Islandpath-Dimob
NC_008061.1	2665936	2689905	Islandpath-Dimob
NC_002758.2	49327	62840	Islandpath-Dimob
NC_002758.2	436071	464633	Islandpath-Dimob
NC_002758.2	918827	942460	Islandpath-Dimob
NC_002758.2	1760034	1768994	Islandpath-Dimob
NC_002758.2	2082904	2087867	Islandpath-Dimob
NC_002758.2	2100471	2125014	Islandpath-Dimob
NC_007005.1	102358	127209	Islandpath-Dimob
NC_007005.1	842575	857875	Islandpath-Dimob
NC_007005.1	1589661	1635300	Islandpath-Dimob
NC_007005.1	1643627	1676327	Islandpath-Dimob
NC_007005.1	1686402	1728836	Islandpath-Dimob
NC_007005.1	3184308	3243230	Islandpath-Dimob
NC_007005.1	3352501	3426734	Islandpath-Dimob
NC_007005.1	3958098	3969597	Islandpath-Dimob
NC_007005.1	4520428	4554107	Islandpath-Dimob
NC_007005.1	5358171	5421171	Islandpath-Dimob
NC_007005.1	5508664	5517946	Islandpath-Dimob
NC_009080.1	132127	140259	Islandpath-Dimob
NC_009080.1	743199	749513	Islandpath-Dimob
NC_009080.1	817493	858720	Islandpath-Dimob
NC_009080.1	920088	935403	Islandpath-Dimob
NC_009080.1	956906	964737	Islandpath-Dimob
NC_009080.1	1160145	1167352	Islandpath-Dimob
NC_009080.1	1481556	1488234	Islandpath-Dimob
NC_009080.1	1540477	1551542	Islandpath-Dimob
NC_009080.1	1728030	1734715	Islandpath-Dimob
NC_009080.1	1922303	1933879	Islandpath-Dimob
NC_009080.1	2050144	2063832	Islandpath-Dimob
NC_009080.1	2082343	2099984	Islandpath-Dimob
NC_009080.1	2228625	2245252	Islandpath-Dimob
NC_009080.1	2258499	2265535	Islandpath-Dimob
NC_009080.1	2297760	2305670	Islandpath-Dimob
NC_009080.1	2614702	2621446	Islandpath-Dimob
NC_009080.1	2692943	2701057	Islandpath-Dimob
NC_009080.1	2812324	2839681	Islandpath-Dimob
NC_009080.1	3032353	3043851	Islandpath-Dimob
NC_009080.1	3144505	3152124	Islandpath-Dimob
NC_009080.1	3403943	3442592	Islandpath-Dimob
NC_009080.1	3453316	3461485	Islandpath-Dimob
NC_008563.1	296372	327041	Islandpath-Dimob
NC_008563.1	345316	353092	Islandpath-Dimob
NC_008563.1	931632	939791	Islandpath-Dimob
NC_008563.1	1179987	1221400	Islandpath-Dimob
NC_008563.1	1341577	1363287	Islandpath-Dimob
NC_008563.1	1482369	1489007	Islandpath-Dimob
NC_008563.1	1496665	1523381	Islandpath-Dimob
NC_008563.1	1584608	1591480	Islandpath-Dimob
NC_008563.1	2048624	2071657	Islandpath-Dimob
NC_008563.1	2141294	2167742	Islandpath-Dimob
NC_008563.1	2567930	2608381	Islandpath-Dimob
NC_008563.1	2739916	2775926	Islandpath-Dimob
NC_008563.1	2909229	2966672	Islandpath-Dimob
NC_008563.1	3305290	3379685	Islandpath-Dimob
NC_008563.1	4743745	4767482	Islandpath-Dimob
NC_008563.1	5002578	5043441	Islandpath-Dimob
NC_004631.1	1090560	1105393	Islandpath-Dimob
NC_004631.1	1189172	1203128	Islandpath-Dimob
NC_004631.1	1406555	1441766	Islandpath-Dimob
NC_004631.1	1795719	1802589	Islandpath-Dimob
NC_004631.1	1889939	1897493	Islandpath-Dimob
NC_004631.1	1928649	1972330	Islandpath-Dimob
NC_004631.1	2621088	2655689	Islandpath-Dimob
NC_004631.1	2736268	2755201	Islandpath-Dimob
NC_004631.1	3025369	3047160	Islandpath-Dimob
NC_004631.1	3498618	3534635	Islandpath-Dimob
NC_004631.1	3990263	3998062	Islandpath-Dimob
NC_004631.1	4389128	4493867	Islandpath-Dimob
NC_004631.1	4504378	4524245	Islandpath-Dimob
NC_004631.1	4668070	4699462	Islandpath-Dimob
NC_009632.1	43147	56622	Islandpath-Dimob
NC_009632.1	362545	387529	Islandpath-Dimob
NC_009632.1	920438	942944	Islandpath-Dimob
NC_009632.1	1076185	1118557	Islandpath-Dimob
NC_009632.1	1262784	1267331	Islandpath-Dimob
NC_009632.1	1808276	1817231	Islandpath-Dimob
NC_009632.1	2128659	2134689	Islandpath-Dimob
NC_009632.1	2153968	2171389	Islandpath-Dimob
NC_003997.3	456365	466200	Islandpath-Dimob
NC_003997.3	2047449	2063812	Islandpath-Dimob
NC_003997.3	3745958	3781440	Islandpath-Dimob
NC_010102.1	691538	714848	Islandpath-Dimob
NC_010102.1	902876	910005	Islandpath-Dimob
NC_010102.1	915062	946972	Islandpath-Dimob
NC_010102.1	997417	1021327	Islandpath-Dimob
NC_010102.1	1143182	1168116	Islandpath-Dimob
NC_010102.1	1786257	1882145	Islandpath-Dimob
NC_010102.1	2496014	2512759	Islandpath-Dimob
NC_010102.1	2765734	2801404	Islandpath-Dimob
NC_010102.1	2859445	2865092	Islandpath-Dimob
NC_010102.1	3405031	3421239	Islandpath-Dimob
NC_010102.1	3899316	3909332	Islandpath-Dimob
NC_010102.1	4482424	4581114	Islandpath-Dimob
NC_004070.1	753907	764243	Islandpath-Dimob
NC_004070.1	778366	789186	Islandpath-Dimob
NC_004070.1	981319	993771	Islandpath-Dimob
NC_004070.1	1250263	1268461	Islandpath-Dimob
NC_004070.1	1313684	1341190	Islandpath-Dimob
NC_004070.1	1414395	1429010	Islandpath-Dimob
NC_007651.1	75029	85793	Islandpath-Dimob
NC_007651.1	96449	151601	Islandpath-Dimob
NC_007651.1	1032310	1051798	Islandpath-Dimob
NC_007651.1	1620058	1656875	Islandpath-Dimob
NC_007651.1	1732565	1741829	Islandpath-Dimob
NC_007651.1	2167315	2180919	Islandpath-Dimob
NC_007651.1	2644206	2660745	Islandpath-Dimob
NC_007651.1	3068770	3162285	Islandpath-Dimob
NC_007651.1	3487884	3532022	Islandpath-Dimob
NC_007651.1	3565304	3589979	Islandpath-Dimob
NC_007651.1	3639427	3646304	Islandpath-Dimob
NC_007651.1	3660641	3684706	Islandpath-Dimob
NC_007651.1	3724128	3737350	Islandpath-Dimob
NC_009782.1	49327	62840	Islandpath-Dimob
NC_009782.1	436074	464637	Islandpath-Dimob
NC_009782.1	920272	943477	Islandpath-Dimob
NC_009782.1	1216061	1220608	Islandpath-Dimob
NC_009782.1	1761434	1770394	Islandpath-Dimob
NC_009782.1	2084301	2089264	Islandpath-Dimob
NC_009782.1	2101868	2126481	Islandpath-Dimob
NC_009782.1	2617103	2643273	Islandpath-Dimob
NC_009512.1	3062	48091	Islandpath-Dimob
NC_009512.1	474365	490423	Islandpath-Dimob
NC_009512.1	1524556	1555880	Islandpath-Dimob
NC_009512.1	2193932	2198779	Islandpath-Dimob
NC_009512.1	3259135	3305148	Islandpath-Dimob
NC_009512.1	4374565	4430314	Islandpath-Dimob
NC_009512.1	4601481	4647257	Islandpath-Dimob
NC_009512.1	5634760	5678710	Islandpath-Dimob
NC_010159.1	32914	40965	Islandpath-Dimob
NC_010159.1	140539	156913	Islandpath-Dimob
NC_010159.1	211311	231337	Islandpath-Dimob
NC_010159.1	265687	277314	Islandpath-Dimob
NC_010159.1	416371	421818	Islandpath-Dimob
NC_010159.1	603018	638343	Islandpath-Dimob
NC_010159.1	666029	676524	Islandpath-Dimob
NC_010159.1	692597	703809	Islandpath-Dimob
NC_010159.1	744834	750858	Islandpath-Dimob
NC_010159.1	1072875	1107103	Islandpath-Dimob
NC_010159.1	1288517	1313314	Islandpath-Dimob
NC_010159.1	1348981	1352755	Islandpath-Dimob
NC_010159.1	1422471	1429472	Islandpath-Dimob
NC_010159.1	2143296	2149911	Islandpath-Dimob
NC_010159.1	2161002	2196380	Islandpath-Dimob
NC_010159.1	2264789	2299062	Islandpath-Dimob
NC_010159.1	2320687	2331913	Islandpath-Dimob
NC_010159.1	2700621	2706945	Islandpath-Dimob
NC_010159.1	2792574	2805386	Islandpath-Dimob
NC_010159.1	2931167	2950207	Islandpath-Dimob
NC_010159.1	3116300	3131568	Islandpath-Dimob
NC_010159.1	3202115	3206116	Islandpath-Dimob
NC_010159.1	3892934	3906674	Islandpath-Dimob
NC_010159.1	4030183	4048024	Islandpath-Dimob
NC_010159.1	4241406	4257332	Islandpath-Dimob
NC_010159.1	4304980	4318064	Islandpath-Dimob
NC_003485.1	298577	309423	Islandpath-Dimob
NC_003485.1	322780	331435	Islandpath-Dimob
NC_003485.1	425382	436401	Islandpath-Dimob
NC_003485.1	483798	506387	Islandpath-Dimob
NC_003485.1	582257	617121	Islandpath-Dimob
NC_003485.1	1053834	1084113	Islandpath-Dimob
NC_003485.1	1229920	1239620	Islandpath-Dimob
NC_003485.1	1469501	1489686	Islandpath-Dimob
NC_004578.1	3039	70954	Islandpath-Dimob
NC_004578.1	217450	235525	Islandpath-Dimob
NC_004578.1	316980	323856	Islandpath-Dimob
NC_004578.1	572573	596195	Islandpath-Dimob
NC_004578.1	639401	648244	Islandpath-Dimob
NC_004578.1	918744	951844	Islandpath-Dimob
NC_004578.1	1194524	1216989	Islandpath-Dimob
NC_004578.1	1524678	1551773	Islandpath-Dimob
NC_004578.1	2447757	2481195	Islandpath-Dimob
NC_004578.1	2566716	2577726	Islandpath-Dimob
NC_004578.1	2674609	2689505	Islandpath-Dimob
NC_004578.1	3195189	3219978	Islandpath-Dimob
NC_004578.1	3609072	3651347	Islandpath-Dimob
NC_004578.1	3823856	3833702	Islandpath-Dimob
NC_004578.1	4470140	4490133	Islandpath-Dimob
NC_004578.1	4517028	4528300	Islandpath-Dimob
NC_004578.1	4551120	4563495	Islandpath-Dimob
NC_004578.1	4798233	4816423	Islandpath-Dimob
NC_004578.1	4869673	4880729	Islandpath-Dimob
NC_004578.1	4943788	4957190	Islandpath-Dimob
NC_004578.1	5050151	5073231	Islandpath-Dimob
NC_004578.1	5195601	5228768	Islandpath-Dimob
NC_004578.1	5272223	5413844	Islandpath-Dimob
NC_004578.1	5921091	5938030	Islandpath-Dimob
NC_004578.1	6074171	6083987	Islandpath-Dimob
NC_004578.1	6092960	6109113	Islandpath-Dimob
NC_004578.1	6170208	6178731	Islandpath-Dimob
NC_004578.1	6339803	6357614	Islandpath-Dimob
NC_010084.1	7465	20246	Islandpath-Dimob
NC_010084.1	540918	559016	Islandpath-Dimob
NC_010084.1	702752	715240	Islandpath-Dimob
NC_010084.1	1985181	2004605	Islandpath-Dimob
NC_010084.1	2482041	2570412	Islandpath-Dimob
NC_010084.1	2677817	2689705	Islandpath-Dimob
NC_010084.1	2809479	2853692	Islandpath-Dimob
NC_010084.1	3055241	3070375	Islandpath-Dimob
NC_002695.1	305987	316506	Islandpath-Dimob
NC_002695.1	892240	930275	Islandpath-Dimob
NC_002695.1	1166119	1212377	Islandpath-Dimob
NC_002695.1	1249048	1308182	Islandpath-Dimob
NC_002695.1	1372019	1456555	Islandpath-Dimob
NC_002695.1	1543524	1600935	Islandpath-Dimob
NC_002695.1	1621573	1663713	Islandpath-Dimob
NC_002695.1	1771355	1816790	Islandpath-Dimob
NC_002695.1	1933334	1973142	Islandpath-Dimob
NC_002695.1	2691115	2694744	Islandpath-Dimob
NC_002695.1	2700771	2708131	Islandpath-Dimob
NC_002695.1	2735973	2751437	Islandpath-Dimob
NC_002695.1	2896767	2924759	Islandpath-Dimob
NC_002695.1	2930056	2939515	Islandpath-Dimob
NC_002695.1	3474297	3518973	Islandpath-Dimob
NC_002695.1	3854489	3872714	Islandpath-Dimob
NC_007510.1	1923974	2022264	Islandpath-Dimob
NC_007510.1	3343788	3366868	Islandpath-Dimob
NC_007432.1	139079	151240	Islandpath-Dimob
NC_007432.1	570741	586682	Islandpath-Dimob
NC_007432.1	624440	637492	Islandpath-Dimob
NC_007432.1	650032	687693	Islandpath-Dimob
NC_007432.1	1309068	1319424	Islandpath-Dimob
